seqnum,date,Month10,who
184299,2025-10-15,47.800003,7
184306,2025-10-15,56.400002,7
184447,2025-10-15,19.6,7
186002,2025-10-15,62.300003,7
184377,2025-10-15,219.60001,7
184413,2025-10-15,-9999,7
186098,2025-10-15,146.39999,7
184479,2025-10-15,92.899994,7
184326,2025-10-15,176.40001,7
184435,2025-10-15,182.3,7
184443,2025-10-15,66.699997,7
186010,2025-10-15,101.6,7
186012,2025-10-15,137.39999,7
186013,2025-10-15,106.39999,7
184340,2025-10-15,130,7
184367,2025-10-15,56.399998,7
184371,2025-10-15,68.400002,7
184418,2025-10-15,67,7
184465,2025-10-15,59.100002,7
184472,2025-10-15,28.200001,7
186017,2025-10-15,65.400002,7
184307,2025-10-15,30,7
184338,2025-10-15,-9999,7
186019,2025-10-15,141.7,7
186021,2025-10-15,345.5,7
184356,2025-10-15,258,7
184365,2025-10-15,144.7,7
184369,2025-10-15,65.5,7
184374,2025-10-15,9.1000004,7
186023,2025-10-15,60.200001,7
184469,2025-10-15,86.100006,7
184477,2025-10-15,100.2,7
184520,2025-10-15,42.200001,7
186024,2025-10-15,0,7
186025,2025-10-15,22,7
186026,2025-10-15,8.5,7
184385,2025-10-15,9.8000002,7
184406,2025-10-15,92.600006,7
184407,2025-10-15,3.5,7
186029,2025-10-15,20.4,7
184424,2025-10-15,23.5,7
186031,2025-10-15,0.5,7
186032,2025-10-15,100.4,7
186034,2025-10-15,10.9,7
184315,2025-10-15,-9999,7
186036,2025-10-15,160.2,7
184351,2025-10-15,339.39999,7
186097,2025-10-15,-9999,7
186037,2025-10-15,138.7,7
184404,2025-10-15,138.7,7
186038,2025-10-15,278.70001,7
0,2025-10-15,40,7
184456,2025-10-15,189.89999,7
184505,2025-10-15,159.5,7
184318,2025-10-15,219,7
184360,2025-10-15,166.2,7
184434,2025-10-15,95.099998,7
184453,2025-10-15,223,7
186041,2025-10-15,155.3,7
184486,2025-10-15,65.599998,7
184302,2025-10-15,30.900002,7
186042,2025-10-15,27.9,7
184313,2025-10-15,9.8000002,7
186095,2025-10-15,16.9,7
186044,2025-10-15,22.9,7
184368,2025-10-15,10.2,7
186045,2025-10-15,7.8000002,7
184392,2025-10-15,109.4,7
186047,2025-10-15,1.7,7
184399,2025-10-15,17.799999,7
184422,2025-10-15,16.700001,7
184427,2025-10-15,33.400002,7
186048,2025-10-15,31.299999,7
186049,2025-10-15,72.099998,7
184455,2025-10-15,-9999,7
184457,2025-10-15,6,7
184464,2025-10-15,43.599998,7
186051,2025-10-15,5.3000002,7
186052,2025-10-15,40.099998,7
186053,2025-10-15,-9999,7
184494,2025-10-15,5.9000001,7
184516,2025-10-15,34.100002,7
184522,2025-10-15,17.200001,7
186054,2025-10-15,56.799999,7
184346,2025-10-15,84,7
186055,2025-10-15,305.20001,7
186056,2025-10-15,146.3,7
184384,2025-10-15,147.8,7
186058,2025-10-15,197.39999,7
184470,2025-10-15,42.400002,7
186061,2025-10-15,151.60001,7
186062,2025-10-15,38.400002,7
186063,2025-10-15,80.5,7
186064,2025-10-15,205.39999,7
184308,2025-10-15,44.799999,7
184309,2025-10-15,0,7
186066,2025-10-15,4.1999998,7
184454,2025-10-15,19.5,7
186071,2025-10-15,0.40000001,7
184459,2025-10-15,0,7
186073,2025-10-15,1.6999999,7
186074,2025-10-15,109.9,7
184331,2025-10-15,309.39999,7
186078,2025-10-15,114.1,7
184339,2025-10-15,112.4,7
184379,2025-10-15,168.679,7
184409,2025-10-15,183.10001,7
184410,2025-10-15,165.29999,7
184471,2025-10-15,186.2,7
184473,2025-10-15,157.2,7
184491,2025-10-15,94.800003,7
184319,2025-10-15,0,7
186082,2025-10-15,0.60000002,7
184343,2025-10-15,-9999,7
186083,2025-10-15,9.6999998,7
184363,2025-10-15,10.9,7
184449,2025-10-15,0.2,7
186088,2025-10-15,6.9000001,7
186090,2025-10-15,15.7,7
184500,2025-10-15,47.100002,7
186091,2025-10-15,-9999,7
184511,2025-10-15,-9999,7
186092,2025-10-15,-9999,7
