seqnum,date,Month8,who
184299,2025-08-15,166.7,7
184306,2025-08-15,138.60001,7
184447,2025-08-15,129.60001,7
186002,2025-08-15,257,7
184377,2025-08-15,20.799999,7
184413,2025-08-15,-9999,7
186098,2025-08-15,106.9,7
184479,2025-08-15,96.400002,7
184326,2025-08-15,81.5,7
184435,2025-08-15,159.89999,7
184443,2025-08-15,42,7
186010,2025-08-15,55.5,7
186012,2025-08-15,150,7
186013,2025-08-15,187.8,7
184340,2025-08-15,328.59998,7
184367,2025-08-15,382.70001,7
184371,2025-08-15,533.90002,7
184418,2025-08-15,305.90002,7
184465,2025-08-15,-9999,7
184472,2025-08-15,396.20001,7
186017,2025-08-15,347.10001,7
184307,2025-08-15,-9999,7
184338,2025-08-15,-9999,7
186019,2025-08-15,428.5,7
186021,2025-08-15,415.5,7
184356,2025-08-15,262.20001,7
184365,2025-08-15,328.20001,7
184369,2025-08-15,293.39999,7
184374,2025-08-15,274.89999,7
186023,2025-08-15,344.89999,7
184469,2025-08-15,377.79999,7
184477,2025-08-15,280.10001,7
184520,2025-08-15,217.10001,7
186024,2025-08-15,104.1,7
186025,2025-08-15,243,7
186026,2025-08-15,193,7
184385,2025-08-15,274.10001,7
184406,2025-08-15,217.89999,7
184407,2025-08-15,152.8,7
186029,2025-08-15,0,7
184424,2025-08-15,98.099998,7
186031,2025-08-15,45,7
186032,2025-08-15,-9999,7
186034,2025-08-15,255,7
184315,2025-08-15,-9999,7
186036,2025-08-15,188.20001,7
184351,2025-08-15,-9999,7
186097,2025-08-15,197.8,7
186037,2025-08-15,340.60001,7
184404,2025-08-15,302.20001,7
186038,2025-08-15,231.39999,7
0,2025-08-15,-9999,7
184456,2025-08-15,254.70001,7
184505,2025-08-15,233.39999,7
184318,2025-08-15,425.39999,7
184360,2025-08-15,286.70001,7
184434,2025-08-15,321.79999,7
184453,2025-08-15,374,7
186041,2025-08-15,112.4,7
184486,2025-08-15,230.5,7
184302,2025-08-15,264.79999,7
186042,2025-08-15,356.29999,7
184313,2025-08-15,233.60001,7
186095,2025-08-15,220,7
186044,2025-08-15,229.20001,7
184368,2025-08-15,397.20001,7
186045,2025-08-15,-9999,7
184392,2025-08-15,381.79999,7
186047,2025-08-15,315.5,7
184399,2025-08-15,287.60001,7
184422,2025-08-15,439.10001,7
184427,2025-08-15,188.09999,7
186048,2025-08-15,266.79999,7
186049,2025-08-15,316.60001,7
184455,2025-08-15,311.79999,7
184457,2025-08-15,371.70001,7
184464,2025-08-15,214.39999,7
186051,2025-08-15,265,7
186052,2025-08-15,227.89999,7
186053,2025-08-15,-9999,7
184494,2025-08-15,361.30002,7
184516,2025-08-15,286.89999,7
184522,2025-08-15,112.3,7
186054,2025-08-15,222.60001,7
184346,2025-08-15,134.7,7
186055,2025-08-15,166.39999,7
186056,2025-08-15,104.5,7
184384,2025-08-15,314.80002,7
186058,2025-08-15,75.300003,7
184470,2025-08-15,6.4000001,7
186061,2025-08-15,6.8000002,7
186062,2025-08-15,147.2,7
186063,2025-08-15,178,7
186064,2025-08-15,32.099998,7
184308,2025-08-15,197.8,7
184309,2025-08-15,192.3,7
186066,2025-08-15,263.39999,7
184454,2025-08-15,272.20001,7
186071,2025-08-15,396.5,7
184459,2025-08-15,289.5,7
186073,2025-08-15,251.90001,7
186074,2025-08-15,443.79999,7
184331,2025-08-15,453.79999,7
186078,2025-08-15,311.29999,7
184339,2025-08-15,351,7
184379,2025-08-15,161.3,7
184409,2025-08-15,268.60001,7
184410,2025-08-15,361.60001,7
184471,2025-08-15,271.70001,7
184473,2025-08-15,625,7
184491,2025-08-15,143.79999,7
184319,2025-08-15,196,7
186082,2025-08-15,495,7
184343,2025-08-15,224,7
186083,2025-08-15,247.2,7
184363,2025-08-15,349.20001,7
184449,2025-08-15,400.70001,7
186088,2025-08-15,234.70001,7
186090,2025-08-15,-9999,7
184500,2025-08-15,353.39999,7
186091,2025-08-15,-9999,7
184511,2025-08-15,371.79999,7
186092,2025-08-15,338.70001,7
