seqnum,CodeNo,Station Name,StationID,Lon,Lat,year,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
184413,ETH442,Ginir,BAGINI31,40.7,7.133333,2024,0,-9999,42.5,240.7,-9999,-9999,26,-9999,-9999,199.9,-9999,-9999
184418,ETH461,Gondar A.P.,GNGOND12,37.4319,12.52115,2024,0,0,29.8,16.3,62.9,255.1,332.7,290,79,84.2,-9999,-9999
184422,ETH479,Gunde Meskel,SHGUND11,38.71667,10.1833,2024,5,12.7,91.6,29,33.4,11,308.5,348.4,114.2,35.5,-9999,-9999
184424,ETH500,Harar School,HAHARA43,42.1,9.3,2024,0,14.8,94.3,56.2,69.4,43.8,205.2,173.3,168.1,187.5,-9999,-9999
184427,ETH527,Hosana,SHHOSA11,37.85383,7.5673,2024,9.7,74.3,194.6,270,137.5,145.1,197.2,198.5,138.1,205.1,-9999,-9999
184434,ETH553,Jimma,KFJIMM12,36.81667,7.666667,2024,90.2,102.7,98.1,101.8,114.9,211.7,464.7,201.4,261.5,214.8,-9999,-9999
184435,ETH554,Jinka,GGJINK11,36.55,5.76667,2024,132.6,126.7,49.2,264,247,48.1,247.9,238,88.7,181.9,-9999,-9999
184443,ETH601,Konso,GGKONS11,37.43333,5.333333,2024,31.2,133.3,111,274.7,146.2,15.5,43.1,41.5,51.9,116,-9999,-9999
184447,ETH615,Kulumsa,ARKULU11,39.1553,8.0097,2024,0.3,60,118.1,100.7,66.1,81.7,188.2,134.1,76.9,60.6,-9999,-9999
184449,ETH624,Lalibela,WOLALI41,39.039839,12.038995,2024,23.6,18.8,41.5,30,23.2,37.4,424.4,420.3,26,32.6,-9999,-9999
184453,ETH637,Limu Genet,KFLIMU11,36.95,8.06667,2024,40.6,114.9,108.5,135.7,215.6,342.8,369.4,192,308.2,248.4,-9999,-9999
184454,ETH644,Maichew,TIMAIC21,39.5337,12.78413,2024,-9999,42.8,83.9,43.3,38,21.9,224.6,336.9,56.8,54.3,-9999,-9999
184455,ETH645,Majete,SHMAJE11,39.85,10.5,2024,19.9,86.2,160.4,-9999,-9999,63.9,-9999,472.6,-9999,136.4,-9999,-9999
184456,,Masha,ILMASH11,35.4667,7.75,2024,68.2,146.3,194.1,52.2,187.5,179.8,138.5,96.7,249.3,-9999,-9999,-9999
184457,ETH665,Mehal Meda (RS),SHMEHA11,39.66025,10.3146,2024,8.1,42.7,53.6,54.8,-9999,67.3,308.7,300.5,90.1,140.2,-9999,-9999
184459,ETH672,Mekele Observa,TIMEKE21,39.4668,13.5244,2024,-9999,-9999,0.2,34.4,8,12.5,-9999,276.6,37.7,4,-9999,-9999
184464,ETH696,Metehara (NMSA),SHMETE12,39.919,8.858667,2024,0.3,4.6,130.1,78.6,27.6,81.7,195.4,98.2,43.9,59.6,-9999,-9999
184465,ETH698,Metema,GNMETE11,36.4139,12.7746,2024,0,-9999,4.8,0,-9999,-9999,-9999,-9999,260.7,146.5,-9999,-9999
