seqnum,date,Month12,who
184299,2025-12-15,12.4,7
184306,2025-12-15,10.4,7
184447,2025-12-15,14.5,7
186002,2025-12-15,-9999,7
184377,2025-12-15,-9999,7
184413,2025-12-15,32.799999,7
186098,2025-12-15,61.200001,7
184479,2025-12-15,10,7
184326,2025-12-15,52.900002,7
184435,2025-12-15,161.2,7
184443,2025-12-15,80.300003,7
186010,2025-12-15,12.8,7
186012,2025-12-15,89,7
186013,2025-12-15,60.099998,7
184340,2025-12-15,0,7
184367,2025-12-15,0,7
184371,2025-12-15,1.5,7
184418,2025-12-15,0,7
184465,2025-12-15,0,7
184472,2025-12-15,0,7
186017,2025-12-15,0.89999998,7
184307,2025-12-15,0,7
184338,2025-12-15,0,7
186019,2025-12-15,5.1999998,7
186021,2025-12-15,0,7
184356,2025-12-15,9.3000002,7
184365,2025-12-15,3.0999999,7
184369,2025-12-15,59.099998,7
184374,2025-12-15,13.7,7
186023,2025-12-15,0,7
184469,2025-12-15,0,7
184477,2025-12-15,0.60000002,7
184520,2025-12-15,3.0999999,7
186024,2025-12-15,0,7
186025,2025-12-15,0.89999998,7
186026,2025-12-15,3,7
184385,2025-12-15,21,7
184406,2025-12-15,59,7
184407,2025-12-15,0,7
186029,2025-12-15,0,7
184424,2025-12-15,27.9,7
186031,2025-12-15,1.2,7
186032,2025-12-15,0,7
186034,2025-12-15,6.0999999,7
184315,2025-12-15,-9999,7
186036,2025-12-15,12.400001,7
184351,2025-12-15,0,7
186097,2025-12-15,36,7
186037,2025-12-15,31.4,7
184404,2025-12-15,113.60001,7
186038,2025-12-15,18.799999,7
0,2025-12-15,0,7
184456,2025-12-15,63.600002,7
184505,2025-12-15,50.400002,7
184318,2025-12-15,119.89999,7
184360,2025-12-15,35.599998,7
184434,2025-12-15,114.2,7
184453,2025-12-15,76.5,7
186041,2025-12-15,79,7
184486,2025-12-15,41.900002,7
184302,2025-12-15,0,7
186042,2025-12-15,1.6,7
184313,2025-12-15,1.5,7
186095,2025-12-15,2.2,7
186044,2025-12-15,0,7
184368,2025-12-15,1.5,7
186045,2025-12-15,0,7
184392,2025-12-15,9.5,7
186047,2025-12-15,0.2,7
184399,2025-12-15,5,7
184422,2025-12-15,2,7
184427,2025-12-15,38,7
186048,2025-12-15,74.900002,7
186049,2025-12-15,23.5,7
184455,2025-12-15,-9999,7
184457,2025-12-15,8.6000004,7
184464,2025-12-15,3.7,7
186051,2025-12-15,-9999,7
186052,2025-12-15,1.2,7
186053,2025-12-15,-9999,7
184494,2025-12-15,0,7
184516,2025-12-15,19.299999,7
184522,2025-12-15,0,7
186054,2025-12-15,68.900002,7
184346,2025-12-15,70.599998,7
186055,2025-12-15,30.1,7
186056,2025-12-15,-9999,7
184384,2025-12-15,33,7
186058,2025-12-15,1.5,7
184470,2025-12-15,57.700001,7
186061,2025-12-15,0.60000002,7
186062,2025-12-15,14.8,7
186063,2025-12-15,76.099998,7
186064,2025-12-15,29,7
184308,2025-12-15,0,7
184309,2025-12-15,-9999,7
186066,2025-12-15,0,7
184454,2025-12-15,5.8000002,7
186071,2025-12-15,0,7
184459,2025-12-15,0,7
186073,2025-12-15,0.60000002,7
186074,2025-12-15,0,7
184331,2025-12-15,35.200001,7
186078,2025-12-15,0,7
184339,2025-12-15,8.8999996,7
184379,2025-12-15,-9999,7
184409,2025-12-15,18.1,7
184410,2025-12-15,16.200001,7
184471,2025-12-15,0,7
184473,2025-12-15,21.599998,7
184491,2025-12-15,15.8,7
184319,2025-12-15,0,7
186082,2025-12-15,0,7
184343,2025-12-15,70.5,7
186083,2025-12-15,43.400002,7
184363,2025-12-15,29.9,7
184449,2025-12-15,5.8999996,7
186088,2025-12-15,2.9000001,7
186090,2025-12-15,2.4000001,7
184500,2025-12-15,27.400002,7
186091,2025-12-15,0,7
184511,2025-12-15,5.5,7
186092,2025-12-15,3.7,7
